	LEV
  لما تكون ضايع بين هون وهنيك	LEV
ولك انا فديت الحلو الي كلامه احلى من السكر يؤبشني قلبك الي مافي منو  	LEV
  شو نفسي حدا يحكيلي اغنية امان ليزن حيفاوي الك	LEV
  مشكلتكانو بس انت الصح وكل الناس غلط ريتك تضرب شو تيس	LEV
أصعب سؤال بيواجهني كل يوم  شو رح نتغدى 	LEV
لك تعي جدبة شو مقعدك بالصحرا 	LEV
اكيد ضد الشماتة بس انتشار الفيديو طبيعي وكلنا منعرف بحوادث من هالنوع خارج لبنان شو بيصير من تناول الموضوع بسخرية بالاعلام	LEV
يامن يسوو ليهم رضاعات حليب بس 	LEV
أول شي أحاول أقنعهم بكل الطرق الممكنه وخاصه لو كان عندي اسلوب اقناع حلو واذا ما عندي اطلب من اي شخص ثاني ف البيت 	LEV
شو يعني علامة كاملة 	LEV
والله الواحد مش عارف شو يحكي  الله يفرجها	LEV
حنا توصيل دولي الله يكرمك بس اذا بدك بخلي باص يقلّطك عالطريق	LEV
ه يسعدك ربي يا نور الهدى  اقسم بالله مالي خُلِق اضحك و ضحكتيني وطلابي مو عارفين شو القصة  عّم يضحكوا على ض 	LEV
القمةالعربية سؤال بتجتمعو تحكو وخلص بعدين شو بصير فهمونا عملي لانو زهقنا النظري بخصوص سوريا وفلسطين قروبعشاقفلسطين قروبعشاقالاقصى	LEV
بابا بغني ياذيب ابصر شو عويت تالي الليل  بحكيلو حلوة هاي الاغنية بحكيلي يابا انا قاعد بهيجن مابغني روحي كملي نومتك احسنلك  فرق شاسع بينا	LEV
هون على شوق قلبي بحديثكك 	LEV
الميت اذا أخذ مش منيح اما اذا أعطى بكون اشي منيح هيك بعرف الله اعلم	LEV
بنعناش شو بدنا في نايط خول	LEV
الحلوين اللي بلش ويكندهم من امس️ 	LEV
مني الى اخفض نقطة في الكون القمة العربية انتم اسفل اي بوط عسكري مقاوم قائد المقاومة السيد الرئيس بشار الأسد 	LEV
محمد الذنيبات رئيس مجلس ادارة الفوسفات قلت كفاءات  في البلد  يا ناس شو الي بيصير	LEV
يا الله وش صاير بالدنيا صورة سنفور وخالد خلاوي 	LEV
  اللي فات مات و الحين شي وقت للاصلاح و المباريات اسهل من قبل باختصار الموضوع في ايدك انته المتحكمسالفة مستوى و ما	LEV
وكل بلد مقاطعه التانيه ونازلين طحن ببعض وفش خلافات هاد كيف لو في شو بتعملو 	LEV
كل واحد يبين شو معدنه بمواقف والوجه الي بنشوفه من عدة ناس مشهوره كله وجوه كاذبه وهالوجه هاظ واحد من مليون	LEV
يا عمي كلنا نوقع و نتفركش و العالم تضحك علينا و نحن نضحك عحالنا كمان شو فيا يعني	LEV
قال شو قال لا اصلاح ولاديمقراطية الا بعد القضاء على الارهاب	LEV
  بتكون الاغنية شو انها نازلة بالسوق ببلشو اصحاب الدكاكين اجتاحت زلزلت قلبت خطفت حبست فجرت اعصار براكين تسونامي اخبار م	LEV
هسا امتحان بكرا  شابتر  درست منهم أول امبارح  الأسبوع الفات وبضل  بساعة بكون مخلصهم وشكلي رح أضلني أحكي هيك لآخر النهار مش رح أدرس إشي	LEV
  القمةالعربية سؤال بتجتمعو تحكو وخلص بعدين شو بصير فهمونا عملي لانو زهقنا النظري بخصوص سوريا وفلسطين قروبعشاقفلسطين ق	LEV
شو يشبه هالعطر	LEV
مدري عنها ليش ما اجت شو عليها ️	LEV
سعوديهمعززهمكرمهفيوطني ياسلام هذا هو الكلام  مو اللي تقول اعتقوني من العبودية مدري شو 	LEV
 طيب هل ذكر الرز او المنسف معيب بالمجتمع	LEV
والله منيح الي شعرت بذلك ولكن بعد فوات الاوان	LEV
مبارح سقط امير الامارات شو رأيك بعدك ع كلامك	LEV
  مجتمع عنصري رجعي متخلف  خليكو الايمان في القلب لا تحكمو عليها من اللبس ‍️ 	LEV
ايه هسا دريت انهم من نفس الشركة	LEV
دخل الله هيدة شو بتتفلسف لو شو ما حكيت حتى لو دافعت عن الرئيس اوف	LEV
كلو عشان خاطر العلاماتانا عاد بحبش المجاملات	LEV
شو هلاكلام الحلو	LEV
شو بيعملوا القادة العرب بالقمة غير أخذ المطرقة من خروف وتسليمها لتيس 	LEV
 وهﻷ تغير الوضع طب انت برأيك شو لازم يصير الاتفاق  يعني حط حلول وآراء وعرضها مو أحسن انك مو عاجبك العجب  بالعامية يعني 	LEV
لما مثلك يحكي شو دخلك في غيرك أنا هلا فهمت ليش وصلنا لهالحال	LEV
شو ها الجسم الجميل	LEV
شو هالإعلان الغبي هاظ  مدير التسويق عندكم لازمه فرمته بلكي صار يفهم  	LEV
شاهد لحظة سقوط الرئيس اللبناني ميشال عون أرضًا في القمة العربية يا زلمة عمرك  سنه روح نام فى بيتكم 	LEV
ه  شفتي كلامي شو مسموع لواني طالب شي مليون  دولار  كانت نقشت معي	LEV
مؤتمران في يوم واحد ياما انت كريم يا رب  مؤتمر القمةالعربية اللي بيجيب مصايب ومؤتمر سامسونغ اللي بيجيب مصاري	LEV
نقدر نقول بلش الويكند من اليوم 	LEV
شو مين ماخذة  رجل من  يوروبيوم مقنطر بال  أينشتاينيوم	LEV
شو انكك بتقهري 	LEV
لا لا حرام وين اهلهم عنهم هذول   	LEV
 سهلة كتير بعلمك اذا بدك 	LEV
كرمال عيون محبي المعز والغنم = 	LEV
لم أتعود النقاش مع المذهبيين لما تترقى لتتكلم سياسة بعدين تعال ناقشني وسأكون سعيد بنقاشك إذا بدك وللا سلام 	LEV
يا عيب الشوم على كل حدا تمسخر على هالشي و هدا الشي راجع لتربية كل انسان الله يحمي الجميع	LEV
  مشكلتي مع السناب اني بنسي شو كتبت في المسج 	LEV
شو ضرورة انعقاد القمة العربية	LEV
شو يعني علامة جمال   	LEV
لك دخيلو انا تؤبشيني 	LEV
ه ليش شو كانت تعمل 	LEV
لك هيدي هيبة الملك سلمان شو بيعرفك	LEV
هيدي الساعة ابصر شو السر فيها  الو فترة منيحة مش عم يغيرها	LEV
المذيعة  سمعت شو قالو الرؤساء السابقين  الوزيرفنيششو قلتي اسمهم  المذيعةالرؤساء  السابقين  الوزيرفنيشاي خلص مشي الحال  خمسةعبيدصغار	LEV
انشالله انت وعايلتك تسقطوا كلكن يا عيب الشوم	LEV
افعلها يا باتريس و راح اكون لك شبيح  	LEV
يمكن أخلاقها احسن من اللي مايدخنوا  	LEV
شو قصة الكل عم يوقع بالقمة العربية 	LEV
  أناس  خلقت قلوبهم من ماء الطهر    تعجز الاحرف عن وصفهم شكر كبير   لگل حدا عم يدعمني هون رغم تقصيري  مع الكل  متابعي	LEV
  ما بعرفك منيح بس بحب تويتاتك كتيير و تعبيراتك الخرافية ️ وخاصة طريقة حكيك بتعجبنيي الله يسعدك يارب و يحقق كلشي ببالك ️	LEV
في الوقت العادي الطبيعي بتكون ما بدك تسأل عن أي حدا  في وقت الدراسه بتخبط فيك الحنية وصلة الأرحام  يعني 	LEV
ما بعرف هالجامعة شو جامعة 	LEV
يا مامي  يعني  كمان  لح  نشوفك  بالسينما  هيدي  السنه  شو محظوظين  نحنا مبروك و موفق  يارب	LEV
شو قصة حكام العرب عم يتزحلطو قصدي عم يسقطو الروابط في التعليق الأول	LEV
  في ناس متل القهوة بدك تغليها منيح لتعطيك الوج المظبوط	LEV
  كلمت زوجي اكتر من مرة يعمل لي سرير زي هذا  شو الحل بليز أنا زهقانة 	LEV
مره سألت اخوي الصغير وش تعرف عن فلسطين قال يتكلمون كذا بدك هيك ولا هيك	LEV
أتوقع دورو بعدما إتضح لها إنُ علي مو متقبلها حيتركوا بعض وعندي أحساس زينب وسنان يطلقوا معليش عالحرق   	LEV
يا اختي صرلنا سنة منقول انو ختيار وما خرج بس ما منشمت لأنو وقع منيح يلي بعدو بيعمل بيبي لحالو	LEV
بلش يدافع عن حريم السلطان	LEV
بكفي يامارك بكفي يابني  خرية بالفيس بوك  ماعم يبيعوك سناب شات بدك تطالعها براسها  مارك مخلوف ولك	LEV
بلكي ليبيا واقفة علي مساعدة من السيسي ولا من مصر 	LEV
والله ماهو عارف شو بيقرأ 	LEV
الإنسانية نعدمت من البشر  شو هل قلّة الذوق 	LEV
يخرب بيتك شو مهضوم	LEV
  يلا منيح الله يسلمكن	LEV
وربي حرام عليكم نحن  ويالله يالله نوصل دواماتنا ركزوا شوي شو ذنبنا 	LEV
شو دخلك  يا حمار	LEV
بعض الناس شغلتهم ف الحياة تنكيد  ولو شو تسووي لهم ما يبان ف عينهم‍️‍️	LEV
  احلى الشي لما النسوان يتقاتلو عالسياسة  هني بعصبوا من هون وانا بفرط ضحك من هون  اترجاكم لا بقا تحكوا سياسة كل وحد	LEV
و أخيرا بلش التسجيل لماراثون الصورة في باص السوشال ميديا  يوم الاثنين - رح ينطلق  باصات في مختلف المناطق في 	LEV
ه شو السيسي رح يرد ع أمير قطر  خازوق يا السيسي  مبروك القمةالعربية قمةعمان	LEV
الله يتمم عليكم يآرب ؛ شو مآ كآنت الظروف 	LEV
  عريانه ما بقدر اتحرك بدي سليف على الشات هون  كويتيه عنيفه  البدو 	LEV
  ابداً ما الو اي علاقة في كتير ناي تعرفو هون و صارو اعز صحاب و ناس تعرفو هون و هسا عندهم ولاد مش شرط ابداً 	LEV
الحياة بدها شوية تَطنيش إلي ما بتحبيه إرمي ورى ضهرك 	LEV
قلبي يرفرف يا جماعه ايدي مدلعنا اليوم  مرات حدث و نزل ستوري و سوا بث لايف و غير كذا حضر الفاشن شو و امس سوا بث في 	LEV
ولك شو هيدا حكي	LEV
القمهالعربيه يا امير قطر لو المظاهرات الي صارت بسوريةوخربت الدني صارت ببلدك شو كنتو بتعملو اكيدة ها توقفو بوجا متل ما وقفت الدولة السورية	LEV
اخر وحدة تدري ان هون جاء فديفدي ايكون 	LEV
بكتب شعر فيك بكتب نثر فيك وبيكفيك شو ممكن يعني إكتب بعد فيك	LEV
عشان شو العرب ياعرب جرب ولا مرة طلعوا بشي مفيد بحق بعضهم خايين القمهالعربيه	LEV
القمهالعربيه محمود عباس بلش يلا نتفرج على الجوائز	LEV
  كيوت️ طيبة كتير ومنيحة والي بيعرفك منيح بيعرف أنو انتي هدية من الله أنسانة ذوق بكلشي ️تحكيلو للقمر قوم ت أقعد محلك	LEV
كلن نقاط اخر الجُمل الا انتي ما بعرف شو بس  بحبك	LEV
شو بحبك انا شو مغروم 	LEV
 شو صار عليه حسابك   ماحد دمرنا غير عقلكم يمكن لو تفكروا بقلوبكم ارحم شوي	LEV
شباب حلقه الرد ع بيكيه وهوسه ب ريالمدريد ومن بعدها حلقه الحذاء الذهبي  شو اقتراحاتكم لحلقه بيكيه	LEV
كل الحق على ليلى عبد اللطيف وقعت الرئيس ما نزلنا فيديو كرمال الدستور بس بنزل فيديو لحاكم دبي  وبنضحك على 	LEV
اشربي مرمرية قبل لتسمعيها وتركزي بكلماتها مشان متنمغصي 	LEV
شو دخل ايران عليك وع ايران م بعرف شو دخل التمتع افهم ايه الكلب	LEV
 نشوف عندكم اكلات وتعجبنا ولانعرف مكوناتها وطريقتها مثل المنسف  المسخنه	LEV
- لو تعرف قديش أنا بنسى كان رح تعذرني  - الله يكون في عونك  - على شو 	LEV
أقولك انته شو أرقامك وبعدين مفلس بطوله شو مفلس لا تنفخ عمرك وأيد وبالأخير انته لا شيء	LEV
  لحد الحين مافهمت شو المطلوب مني اذا احد قلي ملل	LEV
على  ولا شو	LEV
عنجد بطل الواحد يوثق بظلو شو هالاخلاق مرتفعة ماشالله ‍️	LEV
  يؤبرني القولون شو عصبي	LEV
  إنسان كفو و كتيير منيح ما كتير بعرفك بس بعرف انك انسان محبوب و البك طيب و حلو الله يسعدك يارب 	LEV
كيف اصير داشر زيكم 	LEV
العالم نسيو شو اهداف القمة وشو عم يصير فيها  وصارت القمة اجتماع اطمئنان عالرئيس  حمدلله عالسلامة القمهالعربيه	LEV
اسا اذا خيي بالبيت وقع بضحك عليه شو بيأثر يعني	LEV
 أعوذ بالله كلو بقضيها ضحك و مسخرة شفنا شو عملوا وقت القنينة يللي وقعت عالشيخ سعد بالمظاهرة	LEV
شو عم يبخره الشيخ سعد 	LEV
شو رايك تاخدي سينكرز  	LEV
كل شي هيكون منيح بالنهاية  نشالله 	LEV
المشكله كل وحده بتقنع التانيه بالصح وبالأخير بطلعن مو فاهمات إشي ه 	LEV
 هو خايف من إسرائيل ولا امريكا  زلمة واثق من حاله و عارف شو بسولف	LEV
  معقول شو مهضوم  ضحكني   	LEV
أي وهون المشكلة مافيني انطقها منيح	LEV
  مش عارفه يعني المفروض يصير عمري  لحتى اعرف شو بدي من الحياة 	LEV
تذكرني شي مره  ورجعني عبالك  	LEV
إنو عنجد عاملين هاشتاغ القمةالعربية وإنو قال مهتمين شو عم يصير فيها وعم تتابعوها وتحللوا يا جماعة  الضرب بالميت حرام حرام حررام	LEV
شو مين ماخذة  رجل من  يورانيوم مقنطر بال  إتيربيوم	LEV
الرئيس منيح وما باه شي وعم يضحك هو كمانوعادي اتسوكي 	LEV
  يخوان شوفوا المترجمة شو كاتبة   	LEV
 شو هو الحب	LEV
بخاطري قطايف شو الحل 	LEV
بتعرف شو يعني تحب حدآ مو الگ يعني ؛ گأنگ نآطر سفينةة بِـ مطآر 	LEV
  ميزات الشيخ الروحاني اللي عامللي فولو جلب الحبيب وزواج العانس ورد المطلقة والحسد لكن اللي عنجد مش فاهمه شو يعني 	LEV
عادي امتن ما بدك نزله اهما شيء هلاا نجود 	LEV
يعني لما سما المصري تقدم برنامج ديني في رمضان شو ضل بالدنيا 	LEV
صح مشكلة  لانو الفرنسي لي ما بيحبها مستحيل يتعلمها بس اذا بدك وحابتها رح تقدري بس بدك شوية مساعده	LEV
 مشان الله امنعني من الردى	LEV
كيف بحكوا ومقتنعين انه إسرائيل زيها زي اي دولة عربية كيف ببادروا بالسلام معها ايش فيه مشان الله اقسم بالله مش فاهم  سحر هو	LEV
والله ما بطخ  بنقل شو بصير بس عالخفيف	LEV
ايه وانا عم بحكي عن المنطلق الانساني لي الناس تجرّدت منّو  شو ما كان الوضع  عيب المهزلة لي صارت على الوقعة 	LEV
حبيبي صحى الراجل بحب البنت الحلوه انتي يعني هسى حلوه انا قلت الراجل انت راجل تقومبينافوتقعبينادل نسفتو الكلبه	LEV
اكيد السيسي بدو مصاري مهي على قوله مثل الرز	LEV
طيب في مليون جزء  شو ابدا	LEV
ذات مومنت لمّا تكون عم تسوق ومضيّع بالطريق  بتوطّي صوت الموسيقى كرمال تركّز اكتر  كلّوبيأسّر	LEV
شو صاير عندك ليش هيك حاطه صوره مكتوب انا الله وانا اليه راجعون	LEV
 دايمه يارب ابد من الله منيح واقوم واتيح	LEV
 روؤسا بتقلب ع وجها وناس نايمة في سباات عميق في القمة شو بدنا أحلى من هيك   القمة-العربية	LEV
وانا بعمرهم كنت انتظر العصر بفارغ الصبر عشان ابوي يعطيني نص ريال واروح دكان 	LEV
منيحه كتير كتير شو اخر الاخبار 	LEV
بكرا بس حدا ينام مع اختك و يعملو عنها تقرير ما تستنكر لانك سبق و عملت تقرير عن هالموضوع و كمان سد نيعك حاجي بتضلك ت 	LEV
من اليوم بلش الصيف بالإمارات 	LEV
مستر برزدنت بسلم عليكن و بقلكن انو هو منيح و ما اتعور كتير لأن كل يوم بيشرب عصير ليمون 	LEV
لم يظهر اي زعيم عداوه مباشره لسوريه الاسد مثل تميم لما كل هذه العداوه شو عامله كاين سياده الرئيس حفظه الله ونصره	LEV
شو قصة القمة العربية بدورته الحالية الكل عم يسقط 	LEV
مش قادرة اوصفك اي كلمة رح ابدا فيها رح تغار من الثانية  شو صعبة انت بتعرفي صعبة الوصف  بس بقلك خلّيتي الصورة تحكي 	LEV
شو معناها زين	LEV
لا لاتحكي هيك الخير الك بالتكنو اكيد — ان شاء الله  بس لحد هاي اللحظة ما شفت خير  كل شي فيها مو منيح 	LEV
من شفت هالمسلسل نسيت الاحداث السعيده كيف بتكون  يلا نستنى شو ورانا 	LEV
مليح ما حضر الرئيس الجزائري بوتفليقة الله واعلم شو بصير معو 	LEV
وعن جد اذا بدك يساعدك ما في اي مشكله	LEV
 الرسالة من الباشا كان فيها الخاتم شو دخل هلال هي اكيد الهليون راح يتنكدو بس مو بسبب عزيزة ابدا  	LEV
مينانت  وانت شو يخصك	LEV
مو هون المشكلة ولك الحركة البهلوانية الي عملتا مشان توئعني فعلا تستحق التقدير	LEV
هو عارف يحكي الحزين  منيح منه اذا بقلب ع قبره مباشرة هس	LEV
  إنو عنجد عاملين هاشتاغ القمةالعربية وإنو قال مهتمين شو عم يصير فيها وعم تتابعوها وتحللوا يا جماعة  الضرب بالميت حرام حر	LEV
  يا الله شو بعشق هالغنية و شوو بعشق صوت هيفاء  روعة روعة   من مسلسل مولدوصاحبهغايب  	LEV
بس اخ من العالم دايما ناطرين الواحد على زله تقول ما عندن شغله وعمله غير العالم شو عم تعمل	LEV
لا لا لا انا سوبر هاد هداك شو اسمو 	LEV
  شو بيلبقلا هي قمر ومضواي الشاشة وانا متأكدة انو الشام زادت جمال بوجوها حبيبة الشعب	LEV
شو هالفلم الهندي الي استوى 	LEV
راح اقدم حفل وعازمتك علييه شو رح تجي 	LEV
ماما جابت بيبي  بيبي حلوو صغير ياالله حبيبي شو زكي ومغندر	LEV
الكلمة الي نفسي اعرف معناها  شو يعني كشل  ‍️	LEV
انتو شو فهمكم بالسياسة ه	LEV
والستين لا يمثل الشعب والمختلط او الاورثوذكسي طائفي يسبب في شرخ الوحدة الوطنية طيب شو ال 	LEV
شو بصير بتلفونات الي تغريداتهم بتجيب فوق الألف ريتويت ومنشن	LEV
  مذيعة  علا الفارس تختار شغالة كإنها بتشتري قطة وتتمسخر على لبس ومنظر هالمساكين  شو فايدة شهرتك إذا إنتي بدون أخ 	LEV
 شو لابقلك الشعر الطويل 	LEV
قال بدو يعيش بسلام مع اسرائيل  ع اساس حل الدولتين وتحضى اسرائيل باحترام الدول الشقيقه انداري الواحد شو بدو يحكي بسمرحبا سلاممع اسرائيل	LEV
لو هالمخلوق الحقير التافه موجود ببلد فيه قانون كانت انحطت بالسجن  يلعن اللي عطاكي مصاري وخلاكي تستعبدي العالم 	LEV
  قديش في ناس كنت احبهم واعزهم كتير هلقيت صرت كل ما اشوف اسمهم بتف عليهم	LEV
هسا جد جد الشب النسونجي بعد الزواج بتغير ولا لا  شبابجاوبوابمصداقيه 	LEV
بلش يشحد عبّاس ينعن ها	LEV
 منيح الي حكتيلي فكرت صار الموعد	LEV
شو بتاكلش  لحمة  لتكون من جماعة الفيجان والقصص الطرمة هاي	LEV
سؤال بسطيب بلاش الجامعه شو تخصصك — طيب بلاش تحكيليش ليش بتسأل عن الجامعة  ليش بدك تعرف التخصص  	LEV
  أرنب سأل أرنبة شو بتشتغلي حكتلو  منزل	LEV
تلاقى كل القادة العرب الباقيين ضحكوا فى سرهم و بيقولوا  شو بيقول هالختيار  	LEV
  ارنب سال ارنبه شو بتشتغلي حكتله منزل 	LEV
معك حق في تعليقات جدا مستفزة  بس بدك مين يعرف يفرق بين التنكيت والتجربح	LEV
  أرنوب سأل ارنوبة شو بتشتغلي قالتلو  منزل	LEV
  معجل مكرر أرنوب سأل ارنوبة شو بتشتغلي قالتلو  منزل 	LEV
بضل بحب الجامعة لحد ما تحطلي امتحان لاب بيوم عطلتي وعالساعه  ونص هون بنتهي كل اشي	LEV
المشكلة انو بيحط حالو بموقف وبكون هو الغلطان  وبعدين بصير يحسسك انو هو بطل لأنو عم يتحمل يلي عم يمرق فيه عفكرة منيح يلي حولك متحملينك	LEV
 شو بدك فيها احكي زيو طيب 	LEV
بعيداً عن الاختلاف بوجهات النظر في الشؤون الداخلية  كل واحد بيو كبير بالعمر يتخايلوا وقع عالأرض  شو بيكون شعورك	LEV
  شو أخبار قناةالعهر والزندقة صفا وكيف الشيخ الزنديق بعده يناقش عن عمان وأبو صابر شو علومه بعده مجتهدلعنة الله عليه هو	LEV
  عاجبو شحاطة ابن سلمانعربية اصيلةوهذا مستوى حديثهم 	LEV
  سنفور  داعشي جاء من الاردن الى سوريا خصيصا من اجل ديمقراطية وحرية الشعب السوري تصدق ولا احلف لك  	LEV
  ارنب سأل ارنبه  شو بتشتغلي  قالت له انا  منزل 	LEV
  أعلن الفنان محمدعساف عن تحضيره لمفاجأة جديدة لجمهوره حيث نشر عبر حسابه التويتر صورة له وكتبتحضيرات و مفاجآت إلك 	LEV
شو السالفه وين حطيتي الغنيه	LEV
شو رئيك نفتح نقاش عن المتعة	LEV
لما تكون شخص مؤثر بالسوشال ميديا وتقدم هيك محتوى بدك تتحمل الانتقاد بس للأسف مؤثريين سلبيين 	LEV
  قمر  حياتي شو حبيت هالصورة  منورة سوريا   جنيةالحب قناديلالعشاق 	LEV
  سألوا ارنبة شو بتشتغلي قلتلهم  منزل	LEV
عم بتناقشو بالشغل شو الفرق بين الانسان والحيوان ابو العريف بقلهن البني ادم عندو عقل وبحكي الكلب لا +	LEV
احنا شو دخلنا  يبيد الاحزاب والمنتمين الهم والي بدافعو عنهم واسرائيل  ونضل احنا نمشور بفلسطين 	LEV
ليش ضفدع ما يكون سنفور 	LEV
نعم - شو المغزى او الهدف من هالشي 	LEV
طااب   كرمال النسيان لا تقلي نرجع نتلاقى  كرمال النسيان وردتنا لا تعد وراقا   	LEV
  أرنب سأل أرنبة شو بتشتغلي  حكتلو  منزل عطنااسخفنكتة	LEV
  مرة ارنبة تقاعدت شو صارت  منزل  باي 	LEV
  -أرنوبة    تقاعدت شو صارت  منزل مستحيل في أنهف	LEV
 انتي اكبر حضن ي مؤبوشه ي شرن عيوني 	LEV
الرئيسبري تعليقاً على رسالة الرؤساء السابقين هؤلاء مش داير بالهن شو صار بالجنوب  لبنان 	LEV
  مرة ارنبة تقاعدت شو صارت  منزل	LEV
وكبر زغتور الشلة   كل لحظة وانت بخير سعسعنا يا شيخ الشباب يا وتيني يا روحي وقلبي  لك شو بحبك 	LEV
  أرنب سأل ارنبة شو بتشتغلي  قالتله  منزل	LEV
شو نظام القمة يلي بيعملوها كل فترة  بيستهبلو واغلب وقتهم نوم وشتايم وبيطلعو بسواد الوجه	LEV
  مرة ارنب سأل ارنوبة شو بتشتغلي حكتله  منزل  تن ترارنرن تن تن	LEV
  مرة ارنب سأل ارنوبة شو بتشتغلي حكتله  منزل 	LEV
 هند شو رأيك في برج العقرب بالنسبة للرجل	LEV
 شيخ وسيم بلوك هون 	LEV
شو رح يجي اكتر من حلب والموصل نبيح عم يثبت وجوده بس	LEV
عمل  اشي منيح بحياته و غلط بوحدة نسيوا ال  و ركّزوا عالغلط	LEV
  ياحبيبي روح بكفي جروح انا كنت نسيتك شو جابك على بالي	LEV
  أرنب سأل أرنبة شو بتشتغلي قالتلو  منزل  	LEV
  أرنب سأل أرنبة شو بتشتغلي حكتلو  منزل حاسسها قوية	LEV
حتى البنات الكبار يسووها علشان نكون واقعيين يعني  	LEV
 مشان الله يا نور الله يوفقك وينجحك و اتمنى افوز	LEV
  انا حلمتِك بنومي هي عنجد شو كنت لابسي انا هاهاهاهاايه مبلا	LEV
شو عباس صرت تشحد مشان تكمل بناء قصورك قبلك عرفات كان يشحد ويعمر مزارع بتونس وبيوت بباريس لك تضربوا من هيك مناظلين	LEV
شو قصة قلبي مش قادر ينساك ويقسى	LEV
وجع راسنا و هو بيخطب  يعني شو حكا اشي جديد القمهالعربيه	LEV
دعوا السياسة جانباً  تحلوا بالانسانية قليلاً عمى بقلبكن عمي شو شعب وسخ  اي بتستاهلو يلعنو اختكن السياسيين  هيك شعب خرا بدو سياسه خرا	LEV
أول امتحان يكون منيح من ال 	LEV
مابعرف شو مشكلته بالريتويت ولا بالفزلكة ولا غيرة ولا شو مابعرف  جد مريض بمرض الفهامة	LEV
 هسا خافي لانو الك دخل	LEV
 يااخي شو دخل الملك سلمان  ازا عون اجدب مابيعرف يمشي متل الخلق 	LEV
نتريا شو ورانا 	LEV
محمودعباس من لما بلش وهو يتطلع للدعم  القمةالعربية	LEV
وحياتك مش فرئانه عندي شو ما صار	LEV
  أنا داخلة الكلية ومش طمعانة لا بامتياز و لا غيرو بيكفيني معدل منيح و الحمدلله بس بدرس عشان أتخلص من تأنيب الضمير 	LEV
يحسدوني ع شو  ما انا محسود رباني 	LEV
القمهالعربيه  دوبه ماسط خايب الرجاء وبلكي بدك ينصركم امحق نصرة   اهب 	LEV
المهم كوت تويت شو طابخين اليوم	LEV
التايم لاين معبى تغريدات شو بدي فرجيك لفرجيك 	LEV
شو اخبارك يا كتلوونيه 	LEV
  هو خيك اذا وقع بتفرطلك نص ساعة ضحك اذا وقع رئيس جمهوريتك ما بدك تضحكعادي ما بدها حملات تخوين واصلا منيحة الو لأنو ح يبين ان	LEV
  اذا صحيح انو الرؤسا السابقين موجهين رسالة للقمة العربية قبل وصول الرئيسين انشالله لو كنتوا باعتين الروح القدس فيها كختكم	LEV
  ارنب سأل أرنبة شو بتشتغلي حكتلوو  منزل 	LEV
  آه يا حلوة ياللي نستيني عُمرك ما عرفتي شو كان على بالي زمان	LEV
قمة ورى قمةللاموات هذه المرة ف البحرالميت وكل هذا من اجل يدمرواليمن سورياالعراق ياحميرالقدس من هون 	LEV
  -أرنب شو بتشتغلي -أرنبة  منزل	LEV
شو غصبن عنك	LEV
  الارنبة الي بتقعد بالبيت شو بحكولها  منزل  	LEV
العتب مو عليهم العتب على امهاتهم اللي مضيعه بنته حسبي الله عليهم  	LEV
ه سيرا شو قصتك مع هالفيس	LEV
في ختيار نحس كان واقف ومغطي رجله اليسرى بالدشداشة عندما تعثّر الرئيس ميشيل عون هل يمكن أن يكون تحت العباءة 	LEV
حالي مثل القمة العربية مش عارف شو بهبب في حياتي هالفترة بس يلا ربنا يوفقني	LEV
 كلامك صحيح لان السيسي عقله عقل ولاد  مش هو الي يحكم شعب مصر العظيم  السيسي مااحطه في زريبة مشان ماتتوسخ الزريبة	LEV
القمة العربية من  سنة ما إتغير فيها شي نفس الحكي نفس الرؤوساء نفس اللعي الفاضي فخامة سيادة سعادة يا زلمة عطونا شي جديد ملينا ولو	LEV
مافهمت التصريح  شو يعني	LEV
شركة ما تعرف شو تسوي شو تتوقعو منها	LEV
 شو الفكرة بعد اذنك	LEV
  القمة العربية من  سنة ما إتغير فيها شي نفس الحكي نفس الرؤوساء نفس اللعي الفاضي فخامة سيادة سعادة يا زلمة عطونا شي	LEV
انا مين عندي بعدك ولمين قلبي بيكون من هواك اه من هواك اه من قلبي اللي ماجفاك شو صار ياللي سنين ضياع	LEV
 هسا فهمت لا ما بيحاسبوا الفاسدين	LEV
شو بصير بالليل	LEV
 مشان الله يازلمه الله الله	LEV
دجاج عالطريقه التركيه بنظف الجاج و بننقعه بخل ربع ساعه و بنصفيه منيح من الخل بالخلاط بنجهز تتبيله عباره حبه 	LEV
أنا كل إعلان بنزل شو صار أحداث دغري لهيك رح تعرفي تفاصيل بحكيلك اذا بدك 	LEV
  أرنب سأل أرنبة شو بتشتغلي- قالتلو  منزل  فشرت ولاك    اصلا ما حدا غيرك بايخ ه 	LEV
  أرنب سال أرنبه شو بتشتغلي  قالتله  منزل 	LEV
اه بدك ابو عشرين كرتونة	LEV
تراني ارقع واكتب وأقول لو هذا فاز ولو هذا خسر شو بيصير	LEV
  أرنب سال أرنبه شو بتشتغلي  قالتله  منزل  تصبحون على خير	LEV
  شو رايكم في مكوتى الـ زوجه فوت على دردشتى من الرابط  ثلاثينيه بتش 	LEV
  أَرنب سأَل أَرنبة شو بتشتغلي ردت وقالتلو  منزل	LEV
  ارنب سأل أرنبة  شو بتشتغلي  قالتلو  منزل  صباحالخير	LEV
  تغيير مود ارنب سأل ارنبة قال لها  شو بتشتغلي قالتلو  منزل  	LEV
  أرنب سأل أرنبة شو بتشتغلي حكتلو  منزل اسفة 	LEV
