	NONLEV
شكلك عايش المشكله حجي	NONLEV
انا بعد مو ذوقي كلش ولامره يازلي شي منهم سبحان الله الناس اذواق	NONLEV
اشربين شاي اهوايه	NONLEV
  ردلي فرحه وآخذ شيبات بكذلتي  الشعره من تبجي تشيب ردلي كلشي  وهاك روحي العاشت بدونك غريب أنورألدليمي 	NONLEV
خيوطعشقك  ⁩گلت انساك بس مشكلة الـ يحب حيل كلشي يگول لمن يحترگ دمه امبراطوريةالحروف 	NONLEV
الواحد اهلو مش قاعد يسأل عليهم و يجيك واحد مصتك يقلك شبيك ما تسألش  برا خويا موت تعمل مزيّة ه	NONLEV
لعن الله الشاك يقول لك في الخبر هم سألوهم وجاوبو بالتفصيل عن دورهم في خلية النحل لايوجد تعذيب في البحرين كلش طيط امبرم	NONLEV
شعره هيج احلى بكومة	NONLEV
كلش يكبر مع الراتب 	NONLEV
  انا بالنسبه ألي مسامحه مسامحه  حتى لو وصلتني منه حجايه كلش جارحه 	NONLEV
  حبيبتي شنو تاكلين  حبيبي بسكت ابو الولد  حبيبتي اغار ترى اروح اكل شعر بنات  لا لا حبيبي شمرته لابوكم لابو هيج حب 	NONLEV
والقبس اللي مشا حجي لا تنساه	NONLEV
نسميه بحت واعتقد عيد يعرفه كلش زين وخاصة اذا فوكاه دهن حر ه	NONLEV
شكد صلافة لو كنتُ عاشقاً لَما سبقتني بالنياحِ الحمائمِِ	NONLEV
م اقدر ع اختي م تدرس كلش كلش وتجيب زين واني ادبح روحي واموت وم انام الليل ي اجيب قدها او اقل م يصير	NONLEV
جربت بس يبيلي وحده فوق راسي اعرف نفسي انا  وخصوصا اذا قروب تحسين منافسه  ولا جربت بروحي ما أنجز كلش	NONLEV
كلشي من اول شوفة غادي تعرفوه شكون  كاملين عزيز علينا 	NONLEV
  محـد نشـد عـني وقـال هاوين عـدل ميت عليك شطاح هاوين فز قلبي بعلات الصوت هاوين عـليكم يلقطعتو الوصل بيه  == ابوذيات أب	NONLEV
يلا خليها ع الريوك ماادري احسج كلش متغيرة 	NONLEV
اولا كلش ما احتاج تصير فيني كللشش	NONLEV
  كروبنورالحشد وتلآگينهٰ  وسكت كلشي  بس آلموت ضل يحجي   ️ 	NONLEV
ثقو ان الايام الجميله قريبه جدا لا يفصلنا عنها الا طريق عنوانه الصبر والثبات اليوم ضايج وراح ادمركم حتي اذا كحيت اد	NONLEV
  امك عدها هيج كرش وجسم بارز 	NONLEV
  حشد ديالى تكريت  رمادي فلوجه والموصل الولد كاعد يكرزون بيهه حب 	NONLEV
صدق راعي المثل الي قال ان كان مال من ذراعك نجدة ️ سويت كلش بنفسي فديتني الناس يوزسليس 	NONLEV
اوويلي ربي ليش هيج  شنو تره حته الخدامه بشر مثلنهة وعندهة احساس موعبده للختنو	NONLEV
وكلام الهوي الي اتبل إحرجا من كتر صدك ~	NONLEV
اعتقد عدنا اشياء هما ما عدهم منها  الكرم والطيبة وحسن النية صح عدهم منظمات اغاثة لكن حتى منظماتهم يربحون منها  المساهم شهرة والمدير راتب	NONLEV
تدرين شكد اني محظوظه بيج اححبج	NONLEV
 دتشوفين نفسج شكد حلوه و مهضومه 	NONLEV
شبيك لبيك البنقالي بين يديك	NONLEV
  مثل الموج افكاري تضرب في حجر صدك جزرت وابقيتلك عاري انتظر ي رمل مدك ❥♪ كسرات	NONLEV
  يعلمني عيوبه يبيني اعوفه و هو ما يدري اني لعيوبه عاشق مايدري اني عشقته عشان عيوبه	NONLEV
ه كلش ولا البرزتيشن ذيك المره  	NONLEV
صدك عصبية وبسرعة تعصبين — اي يعني الاشياء البسيطه كلش تعصبني بس اهده بنفس الوقت ارجع طبيعيه خبال 	NONLEV
طلعتي عارفة كلشي  انا نحب وصفات أم وليد  حبيبة الجزايريات الاولى وصفاتها برفكت + 	NONLEV
 اكثر الخليجيين يتعاملون مع الخدم هيج بسبب المال الزائد لاكن الله لن ينسى احد وراح يجي يوم ويكون الخليج الصومال	NONLEV
ودي حيل ادرس شوي الحين عشان اخفف عن باجر  لان كميه هل ماده وكلها كائنات اساميها طلاسم والله  بس مالي خلق كلش احس برتاح بعد عذاب امس	NONLEV
تعال شكد اطلبك ليل ععيونُي بعازة الملگة ميت واشتهيتـك روح  ريـة متانيـه الشهكه 	NONLEV
  الجو مال تفرش زوليه في بدي الددسن وتحط مركا وقهوه وشاهي وتخلي احد يفتر فيك فالمنطقه	NONLEV
بالفاينل ماواصلة للجامعة هيج وقت	NONLEV
  أنطيك من عيني دمع ومن صدري ضلع وأنطيك كل عمري شتريد بعد قلّي مسترطلالاضافات قروبكوكتيلبناتللدعم قروبالصباياال	NONLEV
من اليوم ورايح مارح اتحمس مارح اخطط بخلي كلشي يصير فجاه بالنسبه لي عشان ما اتحسر بعدين	NONLEV
والله لوبس يكع الجدركان سواهم تشريب	NONLEV
اللحظة المؤلمة يوم انفض البطانيه وانا ناسيه جوالي عليها ويطير طير الحمامي هيج غرامي	NONLEV
دخلت وجتني دوخه كلش متوفر باي بروح اخذ قرض من البنك	NONLEV
اكبر دليل ان جامعتنا كلها شباب بس ما قد احد لفت انتباهي اصلا ما احب لما البنات يتكلمون عنهم انغث بس وقعت لدكاتره 	NONLEV
الاميرهحنينالشوقمحب  خلك على صدك و لا تنشد عن الحال و جروحي اللي منك خلها على اللھ -️ 	NONLEV
كل هالكُتّاب اللي فجأة طلعولنا بالكويت من كل صوب  و لا واحد فيكم سوالنا كتاب كيف تنام إذا بكرا عندك دوام  مامنكم فايدة كلش  	NONLEV
  شبيك عن باليّ ولا لحظه تروح 	NONLEV
شخص سوداوي يعيش في فوضى يحب المطاعم الفخمه لكن الطفره تحده على الفول  طالب ثانوي لايردد النشيد الوطني بعتباره زاحف 	NONLEV
  شكد اموتن بيك مسلوب يمه حتى حجي بغداد لخبط لساني ما هو عراقي في قطر عرق دمه لكن ملامحه شوفته شي ثاني	NONLEV
البلاكبورد كلش مب وقته	NONLEV
حجي احنا ينحقد علينا ما نحقد على نادي توه بدا يشم البطولات  مع احترامي لجمهوركم ال	NONLEV
  هيج من الله أحبك مدري ليش   أي وشيبتك 	NONLEV
  شتقولمقفي  من راح عنا  بليا خطيه  الله معه  ونهديه منا السلامه 	NONLEV
بين من لبسج مو كلاس بياعة حجي	NONLEV
وبعدين انت محددت شتريد تباوع	NONLEV
تهانينا  وألف الحمدالله ع السلامة والله كلش فرحتلچ	NONLEV
كانوا كفو لوقت محدد, وأنتهى	NONLEV
ريم مو منقهره كلش 	NONLEV
أكيد كلش هياط 	NONLEV
ه ادري بيج تحبينه 	NONLEV
كلش ماعجبتني الفكره من الاساس دنيا فوضى يسرق اي دي  شرطي وينتحل شخصيته	NONLEV
- توفيق من الله اولاً و نتعلم من بطي ثانياً  - ي ساتر حبتك العافية حجي  + عمري  - لا هذا احلى 	NONLEV
ما بحس اني انسانة ممكن تندم بس بحس اني بتعلم من اخطائي ‍️ ليش الانسان ممكن يندم اذا هو عم يتعلم من كلشي بيصير مع 	NONLEV
ما شاء الله  — كلش لاء 	NONLEV
  علمتك بكل المشاعر ولا اخفيت  ان الغلا والقلب والشوق يمك ترجمتلك كل المشاعربها البيت  عطني جوابك كان امري يهمك صوبك	NONLEV
تبعت اثارهم وامشي  ومنهم ماشفت اي شي ولو راحو وحق الله  يعني ظيعت كلشي على العافوك ياروحي  شدي جروحك ونوحي	NONLEV
لا تعتذر القلب مايشفع لك خطيه ملت النفس سيرتك وزاد قهرها قلبي المجروح ما عاد يرد لك التحيه روحي العليله منك تاخذ ح	NONLEV
  دنق براس ترامب ياسيد الاسياد  راسن يطاول روسكم تقطعونه  وانتم بدين الله قويين الاياد اسود دين الله يخوان نوره 	NONLEV
الليبراليه السعوديه مستنقع قذر يبون شرب الخمر و البارات و كلشي حرام وكانهم خلقو لهاذا نعوذو بالله منهم	NONLEV
قولولي وين القاه قلبي وروحي لما يمر عالبال هيج جروحي 	NONLEV
حتى ابن الشارع اللي راضع من خنزير ما يبرر قتل اهله هكذا  ولكن الاعلام السعوصهيوني كلشي يطلع من عنده تربية ال سلول	NONLEV
اوكي منى هو غلط بس مو الغلطه اللي تستاهل كل هل العداء والقنوات تتكلم هيج والصحف	NONLEV
  اللّـہ̣̥ شاهد  من اشوفك  هيج احس رويحتي تتنفس هواك  غروبالحب اسيرالصمت 	NONLEV
شدراني فيهم يخي معني اشوف الالبوم مانكشف كلشي فيه ومتفائل فيهم كثير	NONLEV
من تشوف لعبات برشلونة حتكون هيج لعبة شغلة عادية وعبارة عن مباراة ممتعة من هواي مباريات بالموسم بس من تعتمد ع العرضي 	NONLEV
كان في واحد اجنبي نشر الصور وردو عليه انو من هالو واعطوه رابط وكانت صدك من هالو  دورت عل تغريدة مالقيتهة مسحهة	NONLEV
أبوج يدري عن بابا الثاني إلي تستأذنين منه قبل لا تطلعين 	NONLEV
  جيت يمك غريب ورحت منك غريب لا لقيتك ملآذ و لا لقيتك ذرا 	NONLEV
احطش كلش ي لبى	NONLEV
ابي نفسها ابي ابجي جذي ️️ 	NONLEV
مافيه حفظظ كلش حار بحار لا جاني المبلغ الفلاني احوله لتس وتعطينا اتعابنّا	NONLEV
الحياه كل م اوصل لنهايه الطريق واقول كلشي بيتعدل احسها تقلي باقي بمرمط امك	NONLEV
على كد البعد راح أرسم عيون  وعلى كد ما أعزك راح أرسمك  وأسمك راح أكتبه بحبر الجروح  حتى أتعب صدك من أذكر أسمك	NONLEV
ه اني من شفت نضرته ل بيكي هم كلت هيج 	NONLEV
هاي بيبي هيج 	NONLEV
ترةالتنزل دمعته هواي احس محظوظ  من يبچــي السوالف كلها يحچيهـة بس كلش خطية ومدري وين يـروح الما تنزل دمعــته ويخ 	NONLEV
  مهره ولفاهه الخوف وانهد رسنها هيج انه روحي عليك من تجفي عنها دارميعراقي بغزلعراقي	NONLEV
يابه دروح يمعود مالي خلكك	NONLEV
والله شنو هذا الله يعينه الي تشتاقيله مو ياحضه كلش 	NONLEV
شريت جيس كامل  برد نفس الياهال المهم ان كله ذاب   يصير ابجي  	NONLEV
عندي عزه نفس تلغي وجودك وعندي كبرياء يخليني امر يمك ولا أعرفك	NONLEV
كاعد بالدرب منتظر نظرك يعيونك تحيني من جديد الظالمي كروب النجف والعالم	NONLEV
  هي هيج السكته متروسه تعال  وهي هيچ الصفنه  مليانــه عتــب 	NONLEV
بس ترا وايد عطيتك ويه روح تبچبچ بعيد حجي	NONLEV
والحين يعني كلش مقصرين	NONLEV
 يمك عشت لحظات - بطيء	NONLEV
ما ذاكرت للحين احس اني زاحف	NONLEV
يوال شبيك عليا	NONLEV
كلشي يهون ياخوي لاتموت عشان وحده تركتك 	NONLEV
هيج اريدك  بس تعال الخاص فارغ وانتظر جيتك حبيبي الليله اسكتك لمن كلش تكتفي باخر محطه وبيني وبينك اخلي الشوك تكتك وا 	NONLEV
يا يمة حبيتة ما عوفه بعد 	NONLEV
  خطيه هواي يحلم رايح ابعيد فرق مابين حلمي وبين حلمه 	NONLEV
شجابني يم هيج دنيا وناس تعبانه الله الله ياواد عطه	NONLEV
ان شاء الله هو كالوا هيج شكرا دانية 	NONLEV
ه هلا بيج	NONLEV
هلا بيج هلا	NONLEV
قفلي الخاص اغاتي وارتاحي	NONLEV
احتاج لك حاجة غريبٍ للاوطان ضاعت حياته بين ديره وديره اشتاق لك أحيان وأحيان وأحيان والفكر يمك كل يومٍ أديره 	NONLEV
ماشفتي شيء كلش يقتل نعنبيها	NONLEV
ويع ما يونس كلش حده يلوع الجبد 	NONLEV
تعالي قنعي زيدان بهل حجي	NONLEV
صغيره انتي وما اريد ابجي عيونج قبالي	NONLEV
  جيت يمك غريب ورحت منك غريب لاا لقيتك ملاذ ولاا لقيتك ذرا 	NONLEV
كلش يعني معرض ماشلون يهال وعقد ومصخره	NONLEV
حجي مثلي  افا	NONLEV
اه اه اه شكد حلو	NONLEV
  بـ غزل عراقي  بعيوني لو بيج الخَلل صدگيني مو شغلةهَ غَزل  من تمشي خطواتج تظلّ  دگات گلبي تبوگـﻫُﮧَ 	NONLEV
دقيقة دقيقة انت الحين وش دخلك يتحول الشخص الذي تقال له هذه العبارة إلى مزهرية بيج فيها ورد صناعي مغبر اللي يشمه يعطس يومين	NONLEV
الشركهالعربيه ليش تسوي روح ماتدري شنو حقي حالي حال الا بعتهم حجي	NONLEV
هال العبودين شكد ما اكون ضايج ومعكر المزاج من اشوفهم ارتاح نفسياً الله خالقهم طب نفسي للنفس المتعبة خفيفين الدم 	NONLEV
اذا صارت هاي الشغله  حتى اغسل ايدي من صدك بعد خاف اكو امل 	NONLEV
ابجي بجي من السخافه	NONLEV
جم مره افك عيني التحب والكاها يمك غافيه والورد لو مثلك حلو تركضله الوادم حافيه المالكه لعلته دوه نبره ض	NONLEV
ماعادني ملتفت يمك  ولا باغيك  وأظن حُبك ماهو من ورث جداني 	NONLEV
مدربنا راضي كلش فاشل نادي قطر بعدوه عنهم لسوء النتائج واحتا خلينا على اامنتخب وهذا غلط من الاتحاد ال 	NONLEV
ابوي من الناس الي بالفتره الاخيره بس دخلوا لعالم الواتس وكل شي ينرسل بالواتس يصدقه ويصير حريص فوق حرصه يالله كل شي يضر كلشي يموت كلشي يذبح 	NONLEV
اوادم مو صحي كلش	NONLEV
باجر صورة التخرج لسة أتذكر اول مرة من شفت جماعة السادس لابسين قوط واحنا اول الوقت يمشي كلش بسرعة	NONLEV
ه وج اي غير لبسه لابسيهم بس صدك مشتاقه لمه	NONLEV
عاشت ايادي ابطال الدولة الاسلامية الي سوت من الرافضة تشريب باكلة بالعراق في كل مكان 	NONLEV
 لك كلي وبعمرو ما حدا يورت صحتين وهنا الواحد بيتهنى أكتر الشي بالأكل لأنو كلشي بعكر المزاج	NONLEV
  العراقيين ما عدهم حل وسط بالنقاشات يا اما يطلعوك داعشي يا اما ملحد  	NONLEV
واحد يكول جنت اسولف اني وبيبيتي  الله يحفظهه كتلهه الله خلق السماوات والأرض ب  ايام كلتلي حبوبه العنده فلوس كلشي يسوي 	NONLEV
الله يبارك بيج 	NONLEV
كلشي نبيه مو بس الدوري ولكن الدوري اهم بالنسبه لنا	NONLEV
  حبيالكحشداوي ناصب سيطرة متانيهم يطلعون  طب انت الوكرهم خلصت العطوة  لمهم موصعب قابل رماد بريح  الميل شكد طويل ويبتدي بخطوة	NONLEV
ولك والله خطيه ماتحس أنته بيه 	NONLEV
ادري كلشي مني حلو	NONLEV
بعدني شما كبرتارتاح من ابجي 	NONLEV
يضوجني واحد يگلي مشايفه هالفلم شكد قديمة شفته اول ما نزل  واني من نزل جان عمري  سنين	NONLEV
نفسيتي هالفترة تحاول تبجيني بس و الله ما ابجي 	NONLEV
  شتريدتكول هذا انه الباله يمك   وين ما خلو مكانه شلون ما جان الضرف 	NONLEV
رحمته كلش ولا الضنى  هالفقره تقهر   حياتك	NONLEV
يارب يلقون نكتة غيرها لأن كلش ماتضحك 	NONLEV
  شتريد اسولف لك  عيونك وضحكتك ماخلن عقل بيا ️️	NONLEV
  تصد وتجفى ع كيفك وانت عارف صدك وش يسوي فيني ان كانك هذا اسلوبك  كمل غياب انا مثل ما انا ما اتبع المقفي 	NONLEV
 دوام و برزنتيشنات و كوزات و بوب كوزات و كلشي يخطر على بالك 	NONLEV
 لك عيني هاي كاعد يتحچى من السماوه   لك باوع عيني يقول  ماكو  مخابرات ياحبيبي مخابرات️ 	NONLEV
مو مرتبط بالفلم كلش	NONLEV
كلش موحلو ابديت التويتر	NONLEV
فيني هووس التجديد   احب كل شي جديد لو بيدي كل اسبوع اغير الاشخاص الي بحياتي اغير بيتنا اغير غرفتي كلشي كلشي قابل للتجديد عندي 	NONLEV
غردليشعر  بعد مالي خلگ ونجر قوافي اعليك والله وداعتك حتى العشگ عفته رجِع صفنتي ارد اكتب شعر للناس كافي اكتب الك مو گلبي خلصته	NONLEV
 ه حجي غرقت الكويت والله	NONLEV
حجي علي قول للجيش يرجعها للقردوغان لانه شكلهم يفشل 	NONLEV
ليش حاقريني ف سيات كتبوا حجي عدلل جان اتشجع و ادرس 	NONLEV
النيه كلش صافيه	NONLEV
ما عندك حبيبه انساها مو بس بل مزاج مريم يحاجونها او من حجيت هيج يله انته رديت او حجيت وياي	NONLEV
اذا وصل طلب اللي يمك قبل طلبك 	NONLEV
معقول كلشي احساس عطيتو واطلع كزاب ياباطل	NONLEV
على الأقل يدفعون ضرائب الامتيازات ومناقصات المشاريع الكبيرة أصحاب رؤوس الأموال الكبيرة ولا كلش على الكادحين  ¤أن ربك لبلمرصاد¤ 	NONLEV
واذا كلش دقي على مطعم جباتي راشد  تلاقين كل شي	NONLEV
  توجع   سمعت مره يتيم يحاجي دكتور  يكله المرض اثر حيل بيه  ينظرله بحزن ويكله شنطيك  ما عدنه علي بالصيدليه  	NONLEV
  وجعٌ كالسيل زاحف ماوهن من الرافدين  وأقصانا الحزين لشام الياسمين  وفتنة أنهكت أرض اليمن 	NONLEV
  مدام كاعد و معندي شي 	NONLEV
اوه اوه والله انا بععتزل تويتر واعتزل كلشي حشرتني ياخوي ماترحم انت  اي با 	NONLEV
خطيه هواي يحلم رايح ابعيد فرق مابين حلمي وبين حلمه  حلم مره احلمت جني امشي وياه ابحلم زرت الحلم كصيت  جدمه	NONLEV
مابقى لي قلب يشفع لك خطيه ذوبته جروح صدك والخطايا	NONLEV
 -النوع يوكون دينالي دبل فل كامل  اسود داخل بيج  بدي وكاله خالي من السمكره والرش والتعديل 	NONLEV
مرات رب العالمين ينطيك اشارات علمود يريحك و يطمنك و يردك اله  و انت متدري شمسوي علمود تستاهل هيج رحمة	NONLEV
ممكن لو فرحي كلش مع ناتش للريال هشغل الماتش في الفرح	NONLEV
  حنام واني كلش سعيده ️ 	NONLEV
  جعل ربي من حلآ الحظ يعطيك  وجعلك تذوق من الليآلي حلاها  ويبعدك ربي عن دروب التهآليك  وعسى دروب ال 	NONLEV
اسال انا عليك وانت ماتسأل عليّ انطيك ورده  وانت جمره تحط بـ ايدي كنت اشيلك بين يديه وما قلت مره خطيه جرحي اريده يطيب  ما تقبل يطيب	NONLEV
كلشي مع الاسف	NONLEV
ما اتذكر يوم مر ما تعلمت شي جديد منهم هواية اشياء فرقت بحياتي تعبوا هواية ويايه وتعبتهم كلش حتى وصلت لهلشخصية و 	NONLEV
لا قولي عندما تكونين عارفه كلشي بس تحبين تسمعين منهم تنطرين يكذبون عشان تضحكين 	NONLEV
موصوچهم  صوچي  أستحي ا  والمصيبه شگد چنت كلش  مصدگ بيهم المفروض  أعاملهم مثل ماغيري منطيهم  ظهر مو مال عين  انطيهم	NONLEV
  يخيب ظنك بالصاحب وتتوقع كلشي من الكل دام صاحبي يتكلم فيني من وراي وصار الـ مُش عادي فعلاً عادي الخبث ياكل بصدور الناس وصاحبي ماه	NONLEV
  ٰ غير نورية طلبت صور واني جبتلها صور بعد شتريد اكثر من هالدلال	NONLEV
ايباه نسيت الزاد والملح  ما غزر بيك كل شي صوجي خليتك هيج	NONLEV
وبغزل عراقي  ولك شتريد أسولفلك  عيونك وضحكتك ما خلن عقل بيّه 	NONLEV
يل بايع ثكل صدكني مامر بيك اني بلايه كلشي وما اطخ راسي ولك هذا الهوي اليستغني عنه ايموت ماشمه ابد من يجرح احسا	NONLEV
مرة اختنكت صديقي كلي اسم الله حسيت بلحظة كلش اكورد كتله اذا تعيدها لتمشي وياية	NONLEV
 مراح أسمحلك كلش الى شيرين	NONLEV
اباوع بكل قوتي بعيونج وكولن ماخذت حكي  انتة أول بشر صدكي وين لله وعلى اهلج يحنون واجي يم  بابكم عريس ممنون وازفج 	NONLEV
  للبيع وايت حصناني موديل  جفالي برمك شاص طويل قوته  يوجد فيه نمره ثقيل من غير الواحد قير مكينه كلش على الشررط 	NONLEV
كلش مو محتره من اللي رايحين الحفله	NONLEV
راح انسي ممكن سءال اكو اغنيه علي النسيان اني مداذكر اي اغنيه هسه لوبس اذكر جان كتبتها	NONLEV
شقلك غير احبنك وشقد الدنيا حلوه واني يمك	NONLEV
شكد جنت رايدة اروح لسفرة  	NONLEV
الله يتقبل طاعتكم حجي اامين	NONLEV
شكرا للإدارة المحترمة ولحمد الله على كلشي	NONLEV
انصفينا يالحياه واعرفي ان كلش ولا حزن الاصحاب	NONLEV
ام علي منظفه غرفتي فاتحه الشباك وناسيه والغرفه كلها بق خاله ليش هيج لو ما منظفتها	NONLEV
  واعدتني من جنت عشرين عمري وگالت الي ايريد جفي ينتظر  وصرت شايب  مرني ابنها گلي حجي هاك جفي خلي اعبرنك طريقك وامي من 	NONLEV
  شكد حقيرة راحت الغيري برضاها وفرحت الفرحه الچبيرة وآه يا عشكنا الراح مو فدوة شنهي فدوة يروح للبايع ضميرة 	NONLEV
السواتر والحرب تعرفنه زين طابعين اجدامنه بخدهن وشم  عدنه مثل العافيه الطگ والرصاص الدمه يصهل حافره يخضر زلـم حشد  الحشدرسالةسلام	NONLEV
بيه حسرة  تكول جمرة من الضلع حد الضلع وبيه آااخ ~ لون تطلع تكول جادر شاب منصوب ب فرع   وبيه كلشي  وك 	NONLEV
اخييه شكد حلو الحجي من كاظم بس لو يقولها الاسباني راح ينقدون عليه مادري ليش  	NONLEV
وانا ابجي محد هدم الدنيا ‍️ 	NONLEV
  لا يحوشك كلش ولا غازلونا	NONLEV
ويع لايعه جبدي من كلشي وماليخلق احد كلش	NONLEV
  سامحنا يا حجي  ليس قدرك أن تتعذب بالحياة  قدرك عالي داخل منزلك أمن وأمان ولكن هذا حال الموصل  	NONLEV
  غيابك عني كلش تعب الروح وضيم البيه گام اتشوفه عميان  انة الچانت  ضحكتي اتسكت احلوگ صفت هسة دمعتي اتحچي خرسان  مابينالقل	NONLEV
  لا تهور ولا شي  كلشي متفق عليه 	NONLEV
  لاعندي بخت وازهك واشور بيك ولاسيد  واكول  يسودنك جدي يالماخذ  حياتي برخص طين الكاع متكلي بع 	NONLEV
وكل صاكة وراها واحد ازرگ ه	NONLEV
كل مآجيت آحاسّبك على صدك وِآنشغالك آتذكر آنك منت ملكي وِآسّكت وِآبتسّم لـك 	NONLEV
  بالعراقي  رموش عيني تضمك ولك شتريد اكثر	NONLEV
انجب رحت بس هذا موبايل هيج ميجله اشعارات شعرفني بعد مهم احسن بدون اشعارت احلي ومن يدك صوته مينسمع	NONLEV
كلشي عادي عادي تمشي وياي أعوج  وانت وي غيري عدل وعادي تسهر ويه غيري  وإني بالنار اشتعل عنده~عادي 	NONLEV
  هي وحدة من المكتبات اللي عجبتني مش كلشي فيها طبعا  بس فيها أكمن شغلة عظيمة 	NONLEV
اغنية كلش حلوة 	NONLEV
وحشدك دعموا أمريكي من كلشي -وتعملونا مقاومة ضحكو على الاموات	NONLEV
كلش باليوتيوب ماعلييه	NONLEV
يعافيك حجي بس طارت 	NONLEV
ابا حد يسهر ويايه ملل	NONLEV
  كلش الا العشره اللي على حسب الظروف كـان حبـك يـوم  يومين  روح  وخلنـي	NONLEV
  و أنا كله انام مضايقه و ابجي بعد  	NONLEV
ترا محد يريد يدمر روحه  اساساً هم يدورون عالسعادة لكن لمن خاب ظنهم وانجرحوا فهذا الدمار مو حسرة عا 	NONLEV
مرحلتنه بله ام منتبهت كلش بس مو كلش ركصهم	NONLEV
  الغيم من يحمل مطر يصبح ثگيل هيج طبع الزلمه من يحمل خجل  	NONLEV
لا والله غير صالح كلش مو نفسه	NONLEV
حافظ ع الشخص اللي يدورك من بين الزحمه ويتعمد يتخطّى الكل بس ع شان يقعد يمك ️	NONLEV
هذا كاعد ورة الكيبورد ويسولف بكيفه اذا انَـ̷̷̷َ̳̜̩̳̜̩̳̜̩̐̌̋̐̌̋̐̌̋ـَت هيج بطل روح دافع عن بيتك وعرضك وارضك ومالك وحلالك	NONLEV
 كلش ولا جيمين 	NONLEV
  ❀❀ جفوني او  من جفوا خلّو یمرباي احبابي  اوعاهدوا  محّد  یمرباي ميّس  يوم  من  عدهم يمرباي الدربهم  هلبت  ايعودو 	NONLEV
طبعاً لا حيل ضغط ما ينفعون صيفي مع بعض والله وحده منهم كافي و اخذوا اي ماده ثانيه معاها عن تجربه ما انصح كلش ان يكونون صيفي	NONLEV
كلشي بالحياة يصير احسن 	NONLEV
لاتغشكالسوالف  اي وتجين انتي تزورينه وادزيلنه دولمه  	NONLEV
  نخجل نصيح بألم كلش عزيزة النفس ما نريد نقطة ضعف  وكلمة شماته تمس بس حقنا نبچي لان بالدمع محد يحس عليشواطيدجله 	NONLEV
صدك روعه واصواتكم تجنن	NONLEV
  من اروع ما سمعت اليوم شيلة ولاتكن قدام غيرك مطيه والذيب يتعلم من اول خطيه وإفهم دروس الوقت عدة معاني 	NONLEV
يي صح بس اكو اشخاص ما نمل من عدهم  مثلا انتي يا ماما شاهي ما نمل ابدا منك 	NONLEV
  البشـر يخطـون والتقـصير حاصل وان حصل مني خطيه سامحوني  وكان غبت وما حصل مني تواصل بالدعـاء والخير والنعم اذكروني  خروجنهائي 	NONLEV
    يبه بروح ادرس ببيت رفيجتي    لا   ليش لا    لأن أمج كانت تجي تدرس عندي عطاها من الاخير 	NONLEV
يذكرك بالتخرج ويهوّن كلشي 	NONLEV
قرنبيطهمطرودهوزوجهاذالها بلكت كل الي بالتاق ‍️كملي لطم لين باجر 	NONLEV
حشد ابو عراق ياعلي اعله الكاع لايظل بالك مانهاب الموت هاي ارجالك بالحرب لو بس شفتهم غيره العباس عدهم زينب يسموه	NONLEV
باوع اخويه الغالي البنيه المستوره والي متحب المشاكل متسوي هيج سوالف والا اكو الف تفسير لهذا الشي	NONLEV
ه مو يمك الكلام	NONLEV
  صدك اللي هد حيلي والجفا ليه علني ليه قلبين المحبه بالمحبه ماالتقن 	NONLEV
جنت قبلك ابجي الناس جيت و فيك بجوني	NONLEV
ه خلصت الصور عدهم ضلت بس صور فطايسهم	NONLEV
ابن عمي الامريكي كاعد يمنا 	NONLEV
خلك على صدك و لا تنشد عن الحال وجروحي اللي منك خلها على الله	NONLEV
  هذا كاعد ورة الكيبورد ويسولف بكيفه اذا انَـ̷̷̷َ̳̜̩̳̜̩̳̜̩̐̌̋̐̌̋̐̌̋ـَت هيج بطل روح دافع عن بيتك وعرضك وارضك	NONLEV
  انت عالمي الثاني واحساسي الحلو انت شي يخصّني شي يكفيني عن كلشي روعاتك	NONLEV
ه مسحتها كلت خاف تگول قاصد يلح ويايه	NONLEV
ابشرك كلش تمام	NONLEV
وي كلشي على داك الغياب دلإتزان	NONLEV
خشن ﻓﺮﻛﺎﻙ كلش ﺻﺎﻳﺮ ﻭﻳﺎﻱ   ﺭﺍﺡ ﺍﺳﻜﺖ ﺍﺷﻮﻓﻚ يمته تذكرني    غردليشعر	NONLEV
تموت فدشي خرافي صدك	NONLEV
  ترى والله كلش مو فن لما تقعد تعدل ال  حق احد وتحرجه جفت غلط قوله في الدايركت كلش مو فن لما تفشل شخص بسب	NONLEV
 و لأن جفك خريف  بكضتة نموت مثل ورق الشجر يمك وكعنا  أظن بس أنتة خالقك هيج  و الباقين  لا هيج أنخلقنا 	NONLEV
مهي هون الفكرة غنت لكلشي و كلشي طلع معها حلو	NONLEV
المغرب كلشي فيها حلو 	NONLEV
ولك هنيالك عليه اشكد وفيت وياك  ايوالله  اكرم	NONLEV
  ٰ لو طحت من عين الردي والمهبّل ماطحت من كتف النقى والمعزّة ٰ أبقى سما ؛ ويبقى المهبّل مكبّل يبطي ينوش الغيم كفّه 	NONLEV
صدك اللي هد حيلي والجفا اللي علني	NONLEV
  أبــاوع بالدروب البيـهه ماشي ويـاك بلكت كلـمة منك طايحة أســمعهة 	NONLEV
  صدك ترى ماهو بعيد عن عيني ترى كل العيون من بعدك ملكتني تبقين انتي اخر نظره لي ويبقاء كل العيون ناظرتني هي ع 	NONLEV
